data_id,item_id,language,form,item_kind,category,uni_lemma,lexical_category,date_of_test,age,comprehension,production,is_norming,child_id
73,item_7,Korean,Words and Gestures,word_endings_verbs,time_words,elephant,other,2010-02-21,48,720,465,TRUE,75411
74,item_2,German,Words and Gestures,gestures_first,locations,bottle,other,2010-05-11,20,130,310,TRUE,48453
75,item_1,German,Short Form of Words and Sentences,word_forms_nouns,descriptive_words,tissue,noun,2010-04-09,35,261,697,FALSE,47584
76,item_5,Russian,Words and Sentences,first_signs,descriptive_words,pizza,verb,2010-11-22,58,429,528,TRUE,33803
77,item_16,Arabic,Words and Gestures,gestures_adult,body_parts,frog,verb,2010-07-02,43,513,462,FALSE,43068
78,item_18,Vietnamese,Short Form of Words and Gestures,word_forms_verbs,body_parts,cat,other,2010-08-04,58,300,465,FALSE,79064
79,item_15,Spanish,Words and Sentences,complexity,people,elephant,verb,2010-11-13,25,777,178,FALSE,41288
80,item_3,French,Words and Gestures,first_signs,household,tissue,other,2010-05-12,56,200,528,TRUE,45819
81,item_3,Dutch,Short Form of Words and Gestures,gestures_parent,clothing,giraffe,other,2010-12-12,46,554,265,TRUE,94317
82,item_20,Swedish,Short Form of Words and Gestures,gestures_games,descriptive_words,bread,other,2010-06-28,45,152,132,FALSE,45876
83,item_13,Dutch,Short Form of Words and Gestures,how_use_words,food_drink,apple,verb,2010-11-06,56,723,505,TRUE,59184
84,item_19,Italian,Short Form of Words and Sentences,phrases,time_words,hat,other,2010-05-16,46,496,608,TRUE,67069
85,item_4,French,Words and Sentences,word_endings_nouns,helping_verbs,elephant,verb,2010-10-29,22,152,345,TRUE,83233
86,item_17,Portuguese,Short Form of Words and Gestures,word_endings_nouns,question_words,carrot,adjective,2010-10-14,27,306,594,FALSE,44576
87,item_7,Russian,Words and Gestures,first_signs,toys,bottle,verb,2010-11-29,46,747,191,TRUE,78024
88,item_6,Dutch,Short Form of Words and Gestures,gestures_objects,animals,cat,noun,2010-10-24,55,210,354,FALSE,32443
89,item_16,French,Short Form of Words and Sentences,starting_to_talk,sounds,banana,noun,2010-12-31,41,400,508,FALSE,73309
90,item_17,Spanish,Short Form of Words and Gestures,gestures_first,connecting_words,bread,adjective,2010-11-03,25,767,356,FALSE,14358
91,item_20,Thai,Words and Gestures,gestures_first,games_routines,ice cream,noun,2010-04-13,45,374,699,FALSE,38003
92,item_14,Bengali,Words and Sentences,word_endings_verbs,connecting_words,chocolate,verb,2010-07-21,32,590,635,TRUE,66510
93,item_20,Russian,Short Form of Words and Gestures,word_endings_verbs,pronouns,daddy,adjective,2010-02-10,50,293,439,FALSE,15664
94,item_18,Dutch,Words and Sentences,first_signs,places,pants,other,2010-08-03,59,216,609,TRUE,47033
95,item_7,Swedish,Words and Gestures,starting_to_talk,quantifiers,tissue,adjective,2010-08-02,39,781,477,TRUE,71226
96,item_19,Russian,Short Form of Words and Gestures,gestures_games,outside,mommy,adjective,2010-06-15,23,224,188,TRUE,83868
97,item_14,Russian,Words and Gestures,gestures_objects,places,toothbrush,adjective,2010-04-17,26,165,554,FALSE,36458
98,item_16,Hindi,Words and Gestures,gestures_objects,people,pizza,other,2010-11-16,20,311,298,FALSE,86365
99,item_12,Japanese,Short Form of Words and Gestures,first_signs,household,elephant,other,2010-07-27,46,179,390,FALSE,10620
100,item_8,Bengali,Words and Gestures,word_endings_nouns,furniture_rooms,ice cream,verb,2010-03-12,32,653,676,TRUE,43433
101,item_17,Arabic,Short Form of Words and Gestures,gestures_games,helping_verbs,juice,verb,2010-04-22,38,379,386,FALSE,55391
102,item_5,Italian,Short Form of Words and Gestures,phrases,time_words,toothbrush,adjective,2010-04-07,18,355,334,FALSE,99173
103,item_6,Vietnamese,Short Form of Words and Gestures,word_forms_nouns,games_routines,bee,noun,2010-03-10,33,522,138,FALSE,13875
104,item_9,Swedish,Words and Gestures,word,places,carrot,other,2010-08-18,48,259,568,TRUE,58897
105,item_6,Swedish,Words and Gestures,phrases,question_words,spoon,adjective,2010-06-24,60,496,193,TRUE,87022
106,item_7,German,Words and Sentences,gestures_parent,games_routines,cheese,noun,2010-05-23,53,656,125,TRUE,73144
107,item_8,Turkish,Short Form of Words and Sentences,word_endings_verbs,household,pants,other,2010-12-14,51,663,370,FALSE,70811
108,item_7,Italian,Short Form of Words and Gestures,complexity,descriptive_words,bottle,other,2010-12-28,22,639,115,FALSE,72390
109,item_5,Swedish,Words and Gestures,starting_to_talk,action_words,blanket,other,2010-12-15,31,676,475,FALSE,88192
110,item_6,Thai,Words and Gestures,word_endings_verbs,food_drink,elephant,noun,2010-04-15,28,624,259,TRUE,83900
111,item_15,Thai,Short Form of Words and Sentences,gestures_adult,question_words,banana,noun,2010-01-28,55,409,411,FALSE,11422
112,item_16,Italian,Words and Sentences,word,toys,toothbrush,adjective,2010-06-05,32,146,558,FALSE,69128
113,item_3,Russian,Words and Sentences,first_signs,quantifiers,juice,other,2010-01-06,22,585,224,FALSE,72246
114,item_19,Japanese,Words and Gestures,phrases,body_parts,frog,adjective,2010-10-04,35,482,563,TRUE,18064
115,item_4,English (American),Words and Gestures,word_forms_verbs,connecting_words,toothbrush,adjective,2010-10-22,32,610,425,TRUE,12763
116,item_6,Hindi,Short Form of Words and Sentences,first_signs,games_routines,knife,adjective,2010-06-27,59,347,619,FALSE,70690
117,item_9,Russian,Short Form of Words and Gestures,gestures_adult,connecting_words,toothbrush,adjective,2010-09-13,34,687,421,FALSE,25002
118,item_1,French,Words and Gestures,word_forms_verbs,household,carrot,adjective,2010-06-08,38,295,325,FALSE,96548
119,item_7,Italian,Short Form of Words and Sentences,gestures_parent,action_words,shoe,noun,2010-06-07,48,468,332,FALSE,62984
120,item_18,French,Short Form of Words and Gestures,gestures_adult,food_drink,mommy,other,2010-06-05,47,295,531,FALSE,65341
121,item_13,French,Words and Sentences,word_endings,pronouns,dog,other,2010-12-24,45,567,445,TRUE,39649
122,item_11,Portuguese,Short Form of Words and Sentences,word_forms_nouns,animals,pants,adjective,2010-10-14,37,262,557,FALSE,78647
123,item_4,Arabic,Short Form of Words and Gestures,complexity,time_words,elephant,other,2010-05-18,41,178,647,FALSE,20867
124,item_11,Italian,Words and Gestures,word,action_words,crocodile,other,2010-06-11,50,143,552,TRUE,47673
125,item_12,Portuguese,Short Form of Words and Gestures,complexity,places,bottle,other,2010-12-13,38,582,681,FALSE,88960
126,item_13,Portuguese,Short Form of Words and Gestures,word_endings_verbs,outside,baby,adjective,2010-02-10,44,263,433,TRUE,54121
127,item_19,Arabic,Short Form of Words and Sentences,combine,games_routines,banana,verb,2010-11-19,40,538,155,FALSE,88671
128,item_17,Korean,Short Form of Words and Gestures,word_forms_nouns,question_words,fish (animal),other,2010-06-21,40,216,293,FALSE,14071
129,item_2,Arabic,Short Form of Words and Sentences,gestures_objects,people,shoe,other,2010-03-20,33,403,254,TRUE,89134
130,item_13,Swedish,Words and Sentences,gestures_objects,body_parts,bottle,adjective,2010-04-01,24,788,424,FALSE,45694
131,item_1,Spanish,Words and Gestures,starting_to_talk,animals,chocolate,other,2010-12-30,60,268,549,TRUE,96256
132,item_19,Thai,Words and Sentences,first_signs,body_parts,ice cream,adjective,2010-04-28,27,107,486,TRUE,90373
133,item_17,Russian,Words and Sentences,gestures_games,body_parts,bee,noun,2010-04-18,34,291,540,TRUE,45254
134,item_10,Thai,Words and Gestures,how_use_words,pronouns,bee,other,2010-09-10,47,751,468,TRUE,46642
135,item_1,German,Short Form of Words and Gestures,gestures_parent,clothing,mommy,other,2010-11-21,59,562,426,FALSE,79620
136,item_9,Japanese,Words and Sentences,word_endings_nouns,quantifiers,juice,other,2010-04-17,36,775,561,FALSE,83650
137,item_11,Turkish,Words and Gestures,word_endings,places,ice cream,adjective,2010-07-22,47,648,596,FALSE,24852
138,item_8,German,Words and Sentences,gestures_first,question_words,carrot,noun,2010-11-06,25,628,605,TRUE,73464
139,item_3,Arabic,Words and Sentences,gestures_objects,toys,bread,other,2010-11-22,50,667,126,FALSE,37124
140,item_17,Italian,Words and Gestures,word_endings,helping_verbs,elephant,other,2010-05-15,20,719,337,FALSE,92819
141,item_19,Swedish,Words and Sentences,word_endings,helping_verbs,cat,other,2010-06-07,56,177,110,FALSE,57470
142,item_2,Spanish,Words and Sentences,combine,outside,elephant,adjective,2010-04-30,30,148,529,TRUE,90245
143,item_5,Korean,Words and Sentences,phrases,question_words,fish (animal),adjective,2010-02-11,25,469,525,FALSE,42578
144,item_17,French,Words and Sentences,phrases,connecting_words,baby,other,2010-09-10,34,720,653,TRUE,72510
145,item_13,Turkish,Short Form of Words and Sentences,phrases,body_parts,pants,verb,2010-11-25,21,579,646,TRUE,74890
146,item_5,Portuguese,Words and Sentences,gestures_first,outside,shoe,other,2010-07-13,40,788,625,TRUE,45957
147,item_13,Vietnamese,Words and Gestures,first_signs,action_words,crocodile,adjective,2010-08-24,28,275,448,FALSE,58323
148,item_1,Spanish,Short Form of Words and Gestures,starting_to_talk,question_words,hat,verb,2010-10-22,33,570,359,TRUE,53531
149,item_7,Portuguese,Short Form of Words and Sentences,gestures_adult,toys,pizza,noun,2010-08-12,27,596,619,FALSE,48092
150,item_16,Turkish,Short Form of Words and Gestures,word,descriptive_words,bread,adjective,2010-02-04,52,258,146,TRUE,15175
151,item_16,Spanish,Words and Gestures,word_endings_verbs,places,bee,adjective,2010-10-02,50,782,592,FALSE,15320
152,item_17,Swedish,Words and Sentences,gestures_games,locations,hat,noun,2010-04-08,22,634,201,FALSE,30101
153,item_10,Swedish,Short Form of Words and Gestures,phrases,toys,pizza,adjective,2010-02-07,58,449,438,TRUE,90240
154,item_18,Arabic,Short Form of Words and Sentences,phrases,people,banana,verb,2010-06-20,22,223,190,FALSE,48505
155,item_17,Chinese,Short Form of Words and Gestures,gestures_adult,pronouns,bottle,verb,2010-06-03,29,513,588,TRUE,60038
156,item_3,German,Words and Sentences,word_forms_verbs,action_words,blanket,other,2010-08-26,32,149,480,FALSE,78245
157,item_2,Korean,Short Form of Words and Sentences,starting_to_talk,connecting_words,apple,other,2010-01-09,24,507,677,FALSE,38085
158,item_9,Bengali,Words and Sentences,word_endings_nouns,vehicles,apple,other,2010-08-31,19,419,186,TRUE,93705
159,item_16,Bengali,Words and Gestures,how_use_words,toys,cheese,other,2010-01-16,32,511,129,TRUE,86940
160,item_2,Vietnamese,Short Form of Words and Gestures,complexity,toys,pants,other,2010-10-09,23,294,614,TRUE,86044
161,item_4,Turkish,Words and Gestures,word_forms_verbs,outside,apple,other,2010-12-10,28,119,272,TRUE,76379
162,item_4,Turkish,Short Form of Words and Sentences,word,locations,giraffe,other,2010-09-29,53,520,494,TRUE,78365
163,item_5,Swedish,Words and Sentences,gestures_first,action_words,bread,other,2010-09-07,25,524,236,FALSE,68704
164,item_5,Swedish,Words and Gestures,gestures_parent,vehicles,bee,noun,2010-08-25,45,468,555,FALSE,45622
165,item_13,English (American),Short Form of Words and Gestures,word,household,toothbrush,other,2010-06-06,59,240,488,FALSE,57672
166,item_13,Portuguese,Words and Sentences,gestures_adult,clothing,bottle,adjective,2010-11-06,25,497,342,FALSE,99940
167,item_13,Thai,Words and Sentences,word_endings_nouns,pronouns,bread,verb,2010-03-01,60,189,400,TRUE,69384
168,item_18,Arabic,Short Form of Words and Gestures,word_endings_verbs,outside,dog,verb,2010-07-09,35,709,512,TRUE,83905
169,item_4,German,Words and Sentences,first_signs,quantifiers,pants,other,2010-08-07,53,789,441,TRUE,93567
170,item_5,German,Short Form of Words and Gestures,gestures_first,body_parts,hat,verb,2010-06-14,28,411,653,FALSE,69038
171,item_13,German,Words and Gestures,complexity,animals,fish (animal),verb,2010-03-18,29,780,374,FALSE,79916
172,item_8,English (American),Words and Gestures,word_endings_verbs,clothing,pizza,noun,2010-05-14,32,148,452,TRUE,33028
173,item_5,English (American),Short Form of Words and Sentences,complexity,games_routines,sandwich,other,2010-04-20,57,392,227,FALSE,93698
174,item_7,Korean,Words and Sentences,complexity,places,fish (animal),other,2010-11-02,18,488,615,TRUE,67154
175,item_18,Dutch,Short Form of Words and Gestures,word,sounds,pizza,verb,2010-06-09,20,141,381,FALSE,44808
176,item_18,Thai,Words and Sentences,word_endings_nouns,people,mommy,other,2010-12-05,50,576,586,TRUE,53690
177,item_7,Spanish,Short Form of Words and Gestures,first_signs,helping_verbs,bread,adjective,2010-02-01,35,494,597,FALSE,26138
178,item_8,Vietnamese,Short Form of Words and Gestures,gestures_parent,body_parts,crocodile,other,2010-09-08,56,533,198,TRUE,40511
179,item_9,Hindi,Short Form of Words and Sentences,starting_to_talk,locations,chocolate,other,2010-11-25,26,724,110,TRUE,15326
180,item_15,English (American),Short Form of Words and Gestures,word_forms_verbs,places,sandwich,noun,2010-10-27,25,152,534,TRUE,47702
181,item_5,Japanese,Short Form of Words and Gestures,phrases,animals,mommy,verb,2010-10-03,30,233,324,FALSE,59180
182,item_12,Swedish,Short Form of Words and Gestures,word_forms_verbs,places,bottle,adjective,2010-03-30,47,764,490,FALSE,98262
183,item_3,German,Words and Gestures,word,pronouns,juice,other,2010-04-20,40,325,395,FALSE,53515
184,item_2,Arabic,Words and Sentences,word_endings_verbs,toys,crocodile,noun,2010-04-12,58,132,336,FALSE,18997
185,item_6,Russian,Words and Sentences,word_forms_verbs,animals,knife,adjective,2010-02-09,20,568,279,TRUE,88993
186,item_9,Swedish,Words and Gestures,starting_to_talk,toys,frog,adjective,2010-07-15,45,143,114,TRUE,31448
187,item_13,Thai,Words and Gestures,starting_to_talk,vehicles,fish (animal),verb,2010-02-04,32,348,139,TRUE,16942
188,item_16,Arabic,Words and Sentences,phrases,places,hat,verb,2010-02-07,36,660,205,FALSE,16047
189,item_14,Bengali,Words and Gestures,word_endings_nouns,pronouns,spoon,noun,2010-12-30,55,387,228,TRUE,83977
190,item_12,Korean,Short Form of Words and Sentences,word_endings,body_parts,juice,adjective,2010-03-24,50,248,452,FALSE,26971
191,item_6,Vietnamese,Short Form of Words and Sentences,combine,vehicles,pizza,verb,2010-01-21,27,467,282,TRUE,51128
192,item_3,German,Short Form of Words and Gestures,gestures_adult,action_words,tissue,verb,2010-06-15,54,635,219,TRUE,40739
193,item_13,Portuguese,Words and Gestures,how_use_words,food_drink,knife,other,2010-06-19,56,180,423,FALSE,56475
194,item_1,Thai,Short Form of Words and Sentences,gestures_adult,household,elephant,verb,2010-03-20,20,610,195,FALSE,14645
195,item_1,Korean,Words and Gestures,word_endings,outside,shoe,other,2010-12-18,56,319,700,FALSE,97302
196,item_19,Vietnamese,Short Form of Words and Gestures,word_endings_nouns,toys,ice cream,other,2010-08-26,53,342,100,FALSE,32460
197,item_19,Portuguese,Words and Gestures,starting_to_talk,helping_verbs,elephant,noun,2010-08-22,58,519,622,FALSE,25754
198,item_13,Italian,Words and Gestures,word_forms_nouns,locations,sandwich,noun,2010-01-20,55,151,663,TRUE,95376
199,item_7,Hindi,Words and Gestures,combine,time_words,crocodile,noun,2010-05-26,59,460,109,FALSE,79497
200,item_16,Vietnamese,Short Form of Words and Gestures,word_endings_nouns,furniture_rooms,banana,other,2010-10-28,28,357,624,FALSE,45522
201,item_14,Vietnamese,Words and Sentences,first_signs,time_words,bee,noun,2010-07-18,33,203,270,TRUE,55322
202,item_10,Arabic,Words and Gestures,gestures_adult,games_routines,daddy,verb,2010-11-06,46,548,561,FALSE,75766
203,item_6,Bengali,Words and Gestures,word,descriptive_words,shoe,verb,2010-12-11,41,133,412,FALSE,16982
204,item_6,Italian,Short Form of Words and Sentences,word_forms_verbs,sounds,dog,other,2010-03-20,26,462,151,TRUE,19841
205,item_5,Turkish,Words and Gestures,word,clothing,giraffe,other,2010-12-26,46,124,490,FALSE,88993
206,item_5,Italian,Short Form of Words and Gestures,gestures_adult,time_words,fish (animal),noun,2010-07-10,36,294,664,FALSE,69863
207,item_2,English (American),Short Form of Words and Gestures,gestures_first,pronouns,banana,other,2010-03-12,22,751,352,TRUE,77609
208,item_20,Chinese,Words and Gestures,gestures_first,locations,banana,other,2010-04-16,20,363,107,TRUE,47685
209,item_1,Russian,Words and Sentences,gestures_adult,helping_verbs,pants,noun,2010-12-22,55,238,203,TRUE,56006
210,item_12,English (American),Words and Sentences,combine,question_words,hat,other,2010-08-06,21,779,638,FALSE,19259
211,item_15,Korean,Words and Sentences,word,connecting_words,tissue,noun,2010-08-14,34,292,386,FALSE,29242
212,item_11,Thai,Words and Gestures,combine,descriptive_words,blanket,other,2010-08-21,25,568,168,TRUE,71554
213,item_8,Hindi,Short Form of Words and Gestures,word_endings,descriptive_words,juice,verb,2010-05-08,40,184,283,TRUE,80606
214,item_6,Italian,Short Form of Words and Gestures,how_use_words,body_parts,dog,adjective,2010-12-19,25,376,571,FALSE,49449
215,item_2,Swedish,Short Form of Words and Gestures,gestures_objects,time_words,chocolate,verb,2010-05-11,55,114,381,FALSE,17235
216,item_2,Thai,Short Form of Words and Gestures,gestures_games,descriptive_words,cheese,adjective,2010-01-15,23,265,237,FALSE,26584
217,item_4,German,Short Form of Words and Sentences,phrases,descriptive_words,bee,other,2010-03-23,40,581,339,TRUE,10599
218,item_5,Turkish,Words and Sentences,complexity,body_parts,bread,noun,2010-09-28,20,364,189,TRUE,70218
219,item_12,Turkish,Short Form of Words and Gestures,starting_to_talk,clothing,giraffe,other,2010-03-13,30,133,700,TRUE,33935
220,item_10,Russian,Words and Sentences,gestures_adult,sounds,pants,adjective,2010-05-13,25,331,262,TRUE,48858
221,item_18,English (American),Words and Gestures,word_forms_nouns,vehicles,pizza,noun,2010-03-10,55,752,526,FALSE,68411
222,item_15,Korean,Words and Gestures,first_signs,food_drink,cat,other,2010-05-24,33,599,487,TRUE,36792
223,item_5,Turkish,Words and Gestures,complexity,toys,giraffe,other,2010-03-15,50,287,198,FALSE,83791
224,item_17,Italian,Short Form of Words and Gestures,word_endings_nouns,sounds,knife,adjective,2010-02-17,25,214,368,FALSE,92510
225,item_7,Russian,Words and Sentences,word_endings_nouns,household,tissue,adjective,2010-09-01,45,381,663,FALSE,10740
226,item_5,Korean,Short Form of Words and Gestures,gestures_objects,places,hat,other,2010-11-26,22,319,440,TRUE,21533
227,item_7,Swedish,Words and Gestures,word_endings,vehicles,fish (animal),adjective,2010-07-21,51,777,140,TRUE,61541
228,item_19,German,Short Form of Words and Sentences,gestures_first,animals,apple,adjective,2010-05-11,47,454,216,TRUE,68697
229,item_13,Swedish,Words and Gestures,complexity,people,toothbrush,other,2010-06-17,54,128,636,FALSE,41262
230,item_15,German,Short Form of Words and Gestures,how_use_words,toys,hat,other,2010-10-27,55,742,674,TRUE,20552
231,item_11,Arabic,Short Form of Words and Gestures,phrases,food_drink,bread,noun,2010-12-12,33,230,451,TRUE,72952
232,item_19,Thai,Words and Sentences,starting_to_talk,places,shoe,other,2010-12-06,25,129,208,TRUE,35769
233,item_8,Chinese,Short Form of Words and Gestures,complexity,descriptive_words,frog,adjective,2010-01-29,39,357,242,TRUE,96554
234,item_5,Bengali,Words and Sentences,first_signs,people,toothbrush,other,2010-10-14,41,237,172,FALSE,72296
235,item_17,Swedish,Words and Gestures,gestures_parent,action_words,ice cream,other,2010-08-11,33,769,539,FALSE,86844
236,item_20,German,Short Form of Words and Sentences,combine,body_parts,pizza,other,2010-10-26,57,237,353,FALSE,24879
